date,area,category,dose,vaccine_type,new_doses,cumulative_doses,cumulative_doses_per100,denominator
2021-05-24,全国,医療,合計,合計,330589,6768976,,
2021-05-25,全国,医療,合計,合計,139652,6908628,,
2021-05-26,全国,医療,合計,合計,142589,7051217,,
2021-05-27,全国,医療,合計,合計,145149,7196366,,
2021-05-28,全国,医療,合計,合計,164516,7360882,,
2021-05-29,全国,医療,合計,合計,0,7360882,,
2021-05-30,全国,医療,合計,合計,0,7360882,,
2021-05-31,全国,医療,合計,合計,273255,7634137,,
2021-06-01,全国,医療,合計,合計,159057,7793194,,
2021-06-02,全国,医療,合計,合計,159126,7952320,,
2021-06-03,全国,医療,合計,合計,143157,8095477,,
2021-06-04,全国,医療,合計,合計,159203,8254680,,
2021-06-05,全国,医療,合計,合計,0,8254680,,
2021-06-06,全国,医療,合計,合計,0,8254680,,
2021-06-07,全国,医療,合計,合計,239337,8494017,,
2021-06-08,全国,医療,合計,合計,161922,8655939,,
2021-06-09,全国,医療,合計,合計,167384,8823323,,
2021-06-10,全国,医療,合計,合計,136591,8959914,,
2021-06-11,全国,医療,合計,合計,147983,9107897,,
2021-06-12,全国,医療,合計,合計,0,9107897,,
2021-06-13,全国,医療,合計,合計,0,9107897,,
2021-06-14,全国,医療,合計,合計,214965,9322862,,
2021-06-15,全国,医療,合計,合計,115363,9438225,,
2021-06-16,全国,医療,合計,合計,118735,9556960,,
2021-06-17,全国,医療,合計,合計,129330,9686290,,
2021-06-18,全国,医療,合計,合計,125948,9812238,,
2021-06-19,全国,医療,合計,合計,0,9812238,,
2021-06-20,全国,医療,合計,合計,0,9812238,,
2021-06-21,全国,医療,合計,合計,198780,10011018,,
2021-06-22,全国,医療,合計,合計,94135,10105153,,
2021-06-23,全国,医療,合計,合計,111486,10216639,,
2021-06-24,全国,医療,合計,合計,109421,10326060,,
2021-06-25,全国,医療,合計,合計,128355,10454415,,
2021-06-26,全国,医療,合計,合計,0,10454415,,
2021-06-27,全国,医療,合計,合計,0,10454415,,
2021-06-28,全国,医療,合計,合計,159655,10614070,,
2021-06-29,全国,医療,合計,合計,94481,10708551,,
2021-06-30,全国,医療,合計,合計,79179,10787730,,
2021-07-01,全国,医療,合計,合計,94797,10882527,,
2021-07-02,全国,医療,合計,合計,81824,10964351,,
2021-07-03,全国,医療,合計,合計,0,10964351,,
2021-07-04,全国,医療,合計,合計,0,10964351,,
2021-07-05,全国,医療,合計,合計,145089,11109440,,
2021-07-06,全国,医療,合計,合計,99765,11209205,,
2021-07-07,全国,医療,合計,合計,76653,11285858,,
2021-07-08,全国,医療,合計,合計,83340,11369198,,
2021-07-09,全国,医療,合計,合計,78312,11447510,,
2021-07-10,全国,医療,合計,合計,0,11447510,,
2021-07-11,全国,医療,合計,合計,0,11447510,,
2021-07-12,全国,医療,合計,合計,141584,11589094,,
2021-07-13,全国,医療,合計,合計,73445,11662539,,
2021-07-14,全国,医療,合計,合計,62157,11724696,,
2021-07-15,全国,医療,合計,合計,58287,11782983,,
2021-07-16,全国,医療,合計,合計,65454,11848437,,
2021-07-17,全国,医療,合計,合計,0,11848437,,
2021-07-18,全国,医療,合計,合計,0,11848437,,
2021-07-19,全国,医療,合計,合計,112168,11960605,,
2021-07-20,全国,医療,合計,合計,73571,12034176,,
2021-07-21,全国,医療,合計,合計,46866,12081042,,
2021-07-22,全国,医療,合計,合計,0,12081042,,
2021-07-23,全国,医療,合計,合計,0,12081042,,
2021-07-24,全国,医療,合計,合計,0,12081042,,
2021-07-25,全国,医療,合計,合計,0,12081042,,
2021-07-26,全国,医療,合計,合計,69145,12150187,,
2021-07-27,全国,医療,合計,合計,42721,12192908,,
2021-07-28,全国,医療,合計,合計,30247,12223155,,
2021-07-29,全国,医療,合計,合計,30372,12253527,,
2021-07-30,全国,医療,合計,合計,40588,12294115,,
2021-02-17,全国,医療,1回目,合計,125,125,,
2021-02-18,全国,医療,1回目,合計,486,611,,
2021-02-19,全国,医療,1回目,合計,4428,5039,,
2021-02-20,全国,医療,1回目,合計,0,5039,,
2021-02-21,全国,医療,1回目,合計,0,5039,,
2021-02-22,全国,医療,1回目,合計,6895,11934,,
2021-02-23,全国,医療,1回目,合計,0,11934,,
2021-02-24,全国,医療,1回目,合計,5954,17888,,
2021-02-25,全国,医療,1回目,合計,4008,21896,,
2021-02-26,全国,医療,1回目,合計,6634,28530,,
2021-02-27,全国,医療,1回目,合計,0,28530,,
2021-02-28,全国,医療,1回目,合計,0,28530,,
2021-03-01,全国,医療,1回目,合計,3255,31785,,
2021-03-02,全国,医療,1回目,合計,2987,34772,,
2021-03-03,全国,医療,1回目,合計,2531,37303,,
2021-03-04,全国,医療,1回目,合計,1871,39174,,
2021-03-05,全国,医療,1回目,合計,7295,46469,,
2021-03-06,全国,医療,1回目,合計,0,46469,,
2021-03-07,全国,医療,1回目,合計,0,46469,,
2021-03-08,全国,医療,1回目,合計,24327,70796,,
2021-03-09,全国,医療,1回目,合計,36762,107558,,
2021-03-10,全国,医療,1回目,合計,41357,148915,,
2021-03-11,全国,医療,1回目,合計,31826,180741,,
2021-03-12,全国,医療,1回目,合計,46453,227194,,
2021-03-13,全国,医療,1回目,合計,0,227194,,
2021-03-14,全国,医療,1回目,合計,0,227194,,
2021-03-15,全国,医療,1回目,合計,55204,282398,,
2021-03-16,全国,医療,1回目,合計,67446,349844,,
2021-03-17,全国,医療,1回目,合計,73352,423196,,
2021-03-18,全国,医療,1回目,合計,67217,490413,,
2021-03-19,全国,医療,1回目,合計,63041,553454,,
2021-03-20,全国,医療,1回目,合計,0,553454,,
2021-03-21,全国,医療,1回目,合計,0,553454,,
2021-03-22,全国,医療,1回目,合計,70115,623569,,
2021-03-23,全国,医療,1回目,合計,43801,667370,,
2021-03-24,全国,医療,1回目,合計,38731,706101,,
2021-03-25,全国,医療,1回目,合計,31571,737672,,
2021-03-26,全国,医療,1回目,合計,43993,781665,,
2021-03-27,全国,医療,1回目,合計,0,781665,,
2021-03-28,全国,医療,1回目,合計,0,781665,,
2021-03-29,全国,医療,1回目,合計,44039,825704,,
2021-03-30,全国,医療,1回目,合計,27242,852946,,
2021-03-31,全国,医療,1回目,合計,24213,877159,,
2021-04-01,全国,医療,1回目,合計,16156,893315,,
2021-04-02,全国,医療,1回目,合計,20026,913341,,
2021-04-03,全国,医療,1回目,合計,0,913341,,
2021-04-04,全国,医療,1回目,合計,0,913341,,
2021-04-05,全国,医療,1回目,合計,43297,956638,,
2021-04-06,全国,医療,1回目,合計,39420,996058,,
2021-04-07,全国,医療,1回目,合計,40371,1036429,,
2021-04-08,全国,医療,1回目,合計,29956,1066385,,
2021-04-09,全国,医療,1回目,合計,35313,1101698,,
2021-04-10,全国,医療,1回目,合計,0,1101698,,
2021-04-11,全国,医療,1回目,合計,0,1101698,,
2021-04-12,全国,医療,1回目,合計,26850,1128548,,
2021-04-13,全国,医療,1回目,合計,13896,1142444,,
2021-04-14,全国,医療,1回目,合計,9569,1152013,,
2021-04-15,全国,医療,1回目,合計,16637,1168650,,
2021-04-16,全国,医療,1回目,合計,29696,1198346,,
2021-04-17,全国,医療,1回目,合計,0,1198346,,
2021-04-18,全国,医療,1回目,合計,0,1198346,,
2021-04-19,全国,医療,1回目,合計,64725,1263071,,
2021-04-20,全国,医療,1回目,合計,98622,1361693,,
2021-04-21,全国,医療,1回目,合計,126188,1487881,,
2021-04-22,全国,医療,1回目,合計,128634,1616515,,
2021-04-23,全国,医療,1回目,合計,147989,1764504,,
2021-04-24,全国,医療,1回目,合計,0,1764504,,
2021-04-25,全国,医療,1回目,合計,0,1764504,,
2021-04-26,全国,医療,1回目,合計,221677,1986181,,
2021-04-27,全国,医療,1回目,合計,172069,2158250,,
2021-04-28,全国,医療,1回目,合計,194005,2352255,,
2021-04-29,全国,医療,1回目,合計,0,2352255,,
2021-04-30,全国,医療,1回目,合計,227667,2579922,,
2021-05-01,全国,医療,1回目,合計,0,2579922,,
2021-05-02,全国,医療,1回目,合計,0,2579922,,
2021-05-03,全国,医療,1回目,合計,0,2579922,,
2021-05-04,全国,医療,1回目,合計,0,2579922,,
2021-05-05,全国,医療,1回目,合計,0,2579922,,
2021-05-06,全国,医療,1回目,合計,268978,2848900,,
2021-05-07,全国,医療,1回目,合計,97165,2946065,,
2021-05-08,全国,医療,1回目,合計,0,2946065,,
2021-05-09,全国,医療,1回目,合計,0,2946065,,
2021-05-10,全国,医療,1回目,合計,155255,3101320,,
2021-05-11,全国,医療,1回目,合計,90287,3191607,,
2021-05-12,全国,医療,1回目,合計,82959,3274566,,
2021-05-13,全国,医療,1回目,合計,93429,3367995,,
2021-05-14,全国,医療,1回目,合計,99493,3467488,,
2021-05-15,全国,医療,1回目,合計,0,3467488,,
2021-05-16,全国,医療,1回目,合計,0,3467488,,
2021-05-17,全国,医療,1回目,合計,133843,3601331,,
2021-05-18,全国,医療,1回目,合計,94577,3695908,,
2021-05-19,全国,医療,1回目,合計,88163,3784071,,
2021-05-20,全国,医療,1回目,合計,81422,3865493,,
2021-05-21,全国,医療,1回目,合計,99918,3965411,,
2021-05-22,全国,医療,1回目,合計,0,3965411,,
2021-05-23,全国,医療,1回目,合計,0,3965411,,
2021-05-24,全国,医療,1回目,合計,136760,4102171,,
2021-05-25,全国,医療,1回目,合計,87590,4189761,,
2021-05-26,全国,医療,1回目,合計,93415,4283176,,
2021-05-27,全国,医療,1回目,合計,84257,4367433,,
2021-05-28,全国,医療,1回目,合計,87741,4455174,,
2021-05-29,全国,医療,1回目,合計,0,4455174,,
2021-05-30,全国,医療,1回目,合計,0,4455174,,
2021-05-31,全国,医療,1回目,合計,132005,4587179,,
2021-06-01,全国,医療,1回目,合計,66387,4653566,,
2021-06-02,全国,医療,1回目,合計,71456,4725022,,
2021-06-03,全国,医療,1回目,合計,59766,4784788,,
2021-06-04,全国,医療,1回目,合計,63563,4848351,,
2021-06-05,全国,医療,1回目,合計,0,4848351,,
2021-06-06,全国,医療,1回目,合計,0,4848351,,
2021-06-07,全国,医療,1回目,合計,106581,4954932,,
2021-06-08,全国,医療,1回目,合計,72679,5027611,,
2021-06-09,全国,医療,1回目,合計,68741,5096352,,
2021-06-10,全国,医療,1回目,合計,53969,5150321,,
2021-06-11,全国,医療,1回目,合計,56503,5206824,,
2021-06-12,全国,医療,1回目,合計,0,5206824,,
2021-06-13,全国,医療,1回目,合計,0,5206824,,
2021-06-14,全国,医療,1回目,合計,91429,5298253,,
2021-06-15,全国,医療,1回目,合計,43415,5341668,,
2021-06-16,全国,医療,1回目,合計,46694,5388362,,
2021-06-17,全国,医療,1回目,合計,51537,5439899,,
2021-06-18,全国,医療,1回目,合計,52257,5492156,,
2021-06-19,全国,医療,1回目,合計,0,5492156,,
2021-06-20,全国,医療,1回目,合計,0,5492156,,
2021-06-21,全国,医療,1回目,合計,74997,5567153,,
2021-06-22,全国,医療,1回目,合計,46419,5613572,,
2021-06-23,全国,医療,1回目,合計,51654,5665226,,
2021-06-24,全国,医療,1回目,合計,45382,5710608,,
2021-06-25,全国,医療,1回目,合計,53295,5763903,,
2021-06-26,全国,医療,1回目,合計,0,5763903,,
2021-06-27,全国,医療,1回目,合計,0,5763903,,
2021-06-28,全国,医療,1回目,合計,79109,5843012,,
2021-06-29,全国,医療,1回目,合計,39436,5882448,,
2021-06-30,全国,医療,1回目,合計,32101,5914549,,
2021-07-01,全国,医療,1回目,合計,36935,5951484,,
2021-07-02,全国,医療,1回目,合計,26384,5977868,,
2021-07-03,全国,医療,1回目,合計,0,5977868,,
2021-07-04,全国,医療,1回目,合計,0,5977868,,
2021-07-05,全国,医療,1回目,合計,63678,6041546,,
2021-07-06,全国,医療,1回目,合計,46591,6088137,,
2021-07-07,全国,医療,1回目,合計,30965,6119102,,
2021-07-08,全国,医療,1回目,合計,36736,6155838,,
2021-07-09,全国,医療,1回目,合計,31959,6187797,,
2021-07-10,全国,医療,1回目,合計,0,6187797,,
2021-07-11,全国,医療,1回目,合計,0,6187797,,
2021-07-12,全国,医療,1回目,合計,69715,6257512,,
2021-07-13,全国,医療,1回目,合計,35106,6292618,,
2021-07-14,全国,医療,1回目,合計,22354,6314972,,
2021-07-15,全国,医療,1回目,合計,25096,6340068,,
2021-07-16,全国,医療,1回目,合計,28268,6368336,,
2021-07-17,全国,医療,1回目,合計,0,6368336,,
2021-07-18,全国,医療,1回目,合計,0,6368336,,
2021-07-19,全国,医療,1回目,合計,44197,6412533,,
2021-07-20,全国,医療,1回目,合計,40531,6453064,,
2021-07-21,全国,医療,1回目,合計,3990,6457054,,
2021-07-22,全国,医療,1回目,合計,0,6457054,,
2021-07-23,全国,医療,1回目,合計,0,6457054,,
2021-07-24,全国,医療,1回目,合計,0,6457054,,
2021-07-25,全国,医療,1回目,合計,0,6457054,,
2021-07-26,全国,医療,1回目,合計,26230,6483284,,
2021-07-27,全国,医療,1回目,合計,16523,6499807,,
2021-07-28,全国,医療,1回目,合計,11800,6511607,,
2021-07-29,全国,医療,1回目,合計,9097,6520704,,
2021-07-30,全国,医療,1回目,合計,11460,6532164,,
2021-02-17,全国,医療,2回目,合計,0,0,,
2021-02-18,全国,医療,2回目,合計,0,0,,
2021-02-19,全国,医療,2回目,合計,0,0,,
2021-02-20,全国,医療,2回目,合計,0,0,,
2021-02-21,全国,医療,2回目,合計,0,0,,
2021-02-22,全国,医療,2回目,合計,0,0,,
2021-02-23,全国,医療,2回目,合計,0,0,,
2021-02-24,全国,医療,2回目,合計,0,0,,
2021-02-25,全国,医療,2回目,合計,0,0,,
2021-02-26,全国,医療,2回目,合計,0,0,,
2021-02-27,全国,医療,2回目,合計,0,0,,
2021-02-28,全国,医療,2回目,合計,0,0,,
2021-03-01,全国,医療,2回目,合計,0,0,,
2021-03-02,全国,医療,2回目,合計,0,0,,
2021-03-03,全国,医療,2回目,合計,0,0,,
2021-03-04,全国,医療,2回目,合計,0,0,,
2021-03-05,全国,医療,2回目,合計,0,0,,
2021-03-06,全国,医療,2回目,合計,0,0,,
2021-03-07,全国,医療,2回目,合計,0,0,,
2021-03-08,全国,医療,2回目,合計,0,0,,
2021-03-09,全国,医療,2回目,合計,0,0,,
2021-03-10,全国,医療,2回目,合計,35,35,,
2021-03-11,全国,医療,2回目,合計,408,443,,
2021-03-12,全国,医療,2回目,合計,2905,3348,,
2021-03-13,全国,医療,2回目,合計,0,3348,,
2021-03-14,全国,医療,2回目,合計,0,3348,,
2021-03-15,全国,医療,2回目,合計,4529,7877,,
2021-03-16,全国,医療,2回目,合計,1470,9347,,
2021-03-17,全国,医療,2回目,合計,4942,14289,,
2021-03-18,全国,医療,2回目,合計,4000,18289,,
2021-03-19,全国,医療,2回目,合計,7092,25381,,
2021-03-20,全国,医療,2回目,合計,0,25381,,
2021-03-21,全国,医療,2回目,合計,0,25381,,
2021-03-22,全国,医療,2回目,合計,3748,29129,,
2021-03-23,全国,医療,2回目,合計,2627,31756,,
2021-03-24,全国,医療,2回目,合計,3323,35079,,
2021-03-25,全国,医療,2回目,合計,2371,37450,,
2021-03-26,全国,医療,2回目,合計,3754,41204,,
2021-03-27,全国,医療,2回目,合計,0,41204,,
2021-03-28,全国,医療,2回目,合計,0,41204,,
2021-03-29,全国,医療,2回目,合計,23754,64958,,
2021-03-30,全国,医療,2回目,合計,31827,96785,,
2021-03-31,全国,医療,2回目,合計,28795,125580,,
2021-04-01,全国,医療,2回目,合計,31217,156797,,
2021-04-02,全国,医療,2回目,合計,26560,183357,,
2021-04-03,全国,医療,2回目,合計,0,183357,,
2021-04-04,全国,医療,2回目,合計,0,183357,,
2021-04-05,全国,医療,2回目,合計,56889,240246,,
2021-04-06,全国,医療,2回目,合計,52262,292508,,
2021-04-07,全国,医療,2回目,合計,64171,356679,,
2021-04-08,全国,医療,2回目,合計,64542,421221,,
2021-04-09,全国,医療,2回目,合計,69598,490819,,
2021-04-10,全国,医療,2回目,合計,0,490819,,
2021-04-11,全国,医療,2回目,合計,0,490819,,
2021-04-12,全国,医療,2回目,合計,70086,560905,,
2021-04-13,全国,医療,2回目,合計,40090,600995,,
2021-04-14,全国,医療,2回目,合計,41427,642422,,
2021-04-15,全国,医療,2回目,合計,35983,678405,,
2021-04-16,全国,医療,2回目,合計,39991,718396,,
2021-04-17,全国,医療,2回目,合計,0,718396,,
2021-04-18,全国,医療,2回目,合計,0,718396,,
2021-04-19,全国,医療,2回目,合計,54307,772703,,
2021-04-20,全国,医療,2回目,合計,27797,800500,,
2021-04-21,全国,医療,2回目,合計,26696,827196,,
2021-04-22,全国,医療,2回目,合計,21855,849051,,
2021-04-23,全国,医療,2回目,合計,29683,878734,,
2021-04-24,全国,医療,2回目,合計,0,878734,,
2021-04-25,全国,医療,2回目,合計,0,878734,,
2021-04-26,全国,医療,2回目,合計,41651,920385,,
2021-04-27,全国,医療,2回目,合計,31105,951490,,
2021-04-28,全国,医療,2回目,合計,44268,995758,,
2021-04-29,全国,医療,2回目,合計,0,995758,,
2021-04-30,全国,医療,2回目,合計,47240,1042998,,
2021-05-01,全国,医療,2回目,合計,0,1042998,,
2021-05-02,全国,医療,2回目,合計,0,1042998,,
2021-05-03,全国,医療,2回目,合計,0,1042998,,
2021-05-04,全国,医療,2回目,合計,0,1042998,,
2021-05-05,全国,医療,2回目,合計,0,1042998,,
2021-05-06,全国,医療,2回目,合計,62936,1105934,,
2021-05-07,全国,医療,2回目,合計,43179,1149113,,
2021-05-08,全国,医療,2回目,合計,0,1149113,,
2021-05-09,全国,医療,2回目,合計,0,1149113,,
2021-05-10,全国,医療,2回目,合計,68249,1217362,,
2021-05-11,全国,医療,2回目,合計,78451,1295813,,
2021-05-12,全国,医療,2回目,合計,98761,1394574,,
2021-05-13,全国,医療,2回目,合計,125710,1520284,,
2021-05-14,全国,医療,2回目,合計,143385,1663669,,
2021-05-15,全国,医療,2回目,合計,0,1663669,,
2021-05-16,全国,医療,2回目,合計,0,1663669,,
2021-05-17,全国,医療,2回目,合計,215723,1879392,,
2021-05-18,全国,医療,2回目,合計,155667,2035059,,
2021-05-19,全国,医療,2回目,合計,179703,2214762,,
2021-05-20,全国,医療,2回目,合計,109111,2323873,,
2021-05-21,全国,医療,2回目,合計,149103,2472976,,
2021-05-22,全国,医療,2回目,合計,0,2472976,,
2021-05-23,全国,医療,2回目,合計,0,2472976,,
2021-05-24,全国,医療,2回目,合計,193829,2666805,,
2021-05-25,全国,医療,2回目,合計,52062,2718867,,
2021-05-26,全国,医療,2回目,合計,49174,2768041,,
2021-05-27,全国,医療,2回目,合計,60892,2828933,,
2021-05-28,全国,医療,2回目,合計,76775,2905708,,
2021-05-29,全国,医療,2回目,合計,0,2905708,,
2021-05-30,全国,医療,2回目,合計,0,2905708,,
2021-05-31,全国,医療,2回目,合計,141250,3046958,,
2021-06-01,全国,医療,2回目,合計,92670,3139628,,
2021-06-02,全国,医療,2回目,合計,87670,3227298,,
2021-06-03,全国,医療,2回目,合計,83391,3310689,,
2021-06-04,全国,医療,2回目,合計,95640,3406329,,
2021-06-05,全国,医療,2回目,合計,0,3406329,,
2021-06-06,全国,医療,2回目,合計,0,3406329,,
2021-06-07,全国,医療,2回目,合計,132756,3539085,,
2021-06-08,全国,医療,2回目,合計,89243,3628328,,
2021-06-09,全国,医療,2回目,合計,98643,3726971,,
2021-06-10,全国,医療,2回目,合計,82622,3809593,,
2021-06-11,全国,医療,2回目,合計,91480,3901073,,
2021-06-12,全国,医療,2回目,合計,0,3901073,,
2021-06-13,全国,医療,2回目,合計,0,3901073,,
2021-06-14,全国,医療,2回目,合計,123536,4024609,,
2021-06-15,全国,医療,2回目,合計,71948,4096557,,
2021-06-16,全国,医療,2回目,合計,72041,4168598,,
2021-06-17,全国,医療,2回目,合計,77793,4246391,,
2021-06-18,全国,医療,2回目,合計,73691,4320082,,
2021-06-19,全国,医療,2回目,合計,0,4320082,,
2021-06-20,全国,医療,2回目,合計,0,4320082,,
2021-06-21,全国,医療,2回目,合計,123783,4443865,,
2021-06-22,全国,医療,2回目,合計,47716,4491581,,
2021-06-23,全国,医療,2回目,合計,59832,4551413,,
2021-06-24,全国,医療,2回目,合計,64039,4615452,,
2021-06-25,全国,医療,2回目,合計,75060,4690512,,
2021-06-26,全国,医療,2回目,合計,0,4690512,,
2021-06-27,全国,医療,2回目,合計,0,4690512,,
2021-06-28,全国,医療,2回目,合計,80546,4771058,,
2021-06-29,全国,医療,2回目,合計,55045,4826103,,
2021-06-30,全国,医療,2回目,合計,47078,4873181,,
2021-07-01,全国,医療,2回目,合計,57862,4931043,,
2021-07-02,全国,医療,2回目,合計,55440,4986483,,
2021-07-03,全国,医療,2回目,合計,0,4986483,,
2021-07-04,全国,医療,2回目,合計,0,4986483,,
2021-07-05,全国,医療,2回目,合計,81411,5067894,,
2021-07-06,全国,医療,2回目,合計,53174,5121068,,
2021-07-07,全国,医療,2回目,合計,45688,5166756,,
2021-07-08,全国,医療,2回目,合計,46604,5213360,,
2021-07-09,全国,医療,2回目,合計,46353,5259713,,
2021-07-10,全国,医療,2回目,合計,0,5259713,,
2021-07-11,全国,医療,2回目,合計,0,5259713,,
2021-07-12,全国,医療,2回目,合計,71869,5331582,,
2021-07-13,全国,医療,2回目,合計,38339,5369921,,
2021-07-14,全国,医療,2回目,合計,39803,5409724,,
2021-07-15,全国,医療,2回目,合計,33191,5442915,,
2021-07-16,全国,医療,2回目,合計,37186,5480101,,
2021-07-17,全国,医療,2回目,合計,0,5480101,,
2021-07-18,全国,医療,2回目,合計,0,5480101,,
2021-07-19,全国,医療,2回目,合計,67971,5548072,,
2021-07-20,全国,医療,2回目,合計,33040,5581112,,
2021-07-21,全国,医療,2回目,合計,42876,5623988,,
2021-07-22,全国,医療,2回目,合計,0,5623988,,
2021-07-23,全国,医療,2回目,合計,0,5623988,,
2021-07-24,全国,医療,2回目,合計,0,5623988,,
2021-07-25,全国,医療,2回目,合計,0,5623988,,
2021-07-26,全国,医療,2回目,合計,42915,5666903,,
2021-07-27,全国,医療,2回目,合計,26198,5693101,,
2021-07-28,全国,医療,2回目,合計,18447,5711548,,
2021-07-29,全国,医療,2回目,合計,21275,5732823,,
2021-07-30,全国,医療,2回目,合計,29128,5761951,,
2021-02-17,全国,医療,合計,ファイザー,125,125,,
2021-02-18,全国,医療,合計,ファイザー,486,611,,
2021-02-19,全国,医療,合計,ファイザー,4428,5039,,
2021-02-20,全国,医療,合計,ファイザー,0,5039,,
2021-02-21,全国,医療,合計,ファイザー,0,5039,,
2021-02-22,全国,医療,合計,ファイザー,6895,11934,,
